iter	Passed	Remaining
419	2562	3538
420	2570	3534
421	2576	3528
422	2581	3521
423	2588	3516
424	2595	3511
425	2602	3506
426	2609	3502
427	2616	3496
428	2622	3490
429	2629	3485
430	2636	3480
431	2642	3474
432	2649	3469
433	2656	3464
434	2663	3459
435	2669	3453
436	2675	3447
437	2682	3442
438	2689	3436
439	2697	3433
440	2703	3427
441	2709	3420
442	2716	3415
443	2723	3409
444	2730	3406
445	2737	3400
446	2744	3395
447	2751	3389
448	2757	3383
449	2763	3377
450	2769	3370
451	2774	3364
452	2781	3358
453	2786	3351
454	2793	3346
455	2801	3341
456	2808	3336
457	2814	3330
458	2822	3326
459	2833	3325
460	2847	3329
461	2857	3327
462	2863	3321
463	2870	3315
464	2876	3309
465	2882	3303
466	2890	3299
467	2897	3294
468	2903	3287
469	2911	3283
470	2917	3276
471	2926	3273
472	2932	3266
473	2938	3260
474	2944	3254
475	2950	3248
476	2957	3243
477	2964	3237
478	2972	3233
479	2978	3226
480	2985	3220
481	2992	3215
482	2998	3210
483	3005	3204
484	3011	3198
485	3018	3192
486	3025	3186
487	3031	3180
488	3037	3174
489	3043	3168
490	3050	3162
491	3056	3155
492	3061	3148
493	3068	3142
494	3073	3135
495	3078	3128
496	3084	3121
497	3091	3116
498	3097	3109
499	3103	3103
500	3108	3096
501	3114	3089
502	3119	3082
503	3124	3075
504	3130	3068
505	3137	3063
506	3143	3056
507	3149	3050
508	3156	3044
509	3161	3037
510	3167	3030
511	3173	3024
512	3179	3017
513	3184	3011
514	3190	3004
515	3196	2998
516	3202	2992
517	3210	2987
518	3216	2981
519	3222	2974
520	3228	2967
521	3234	2961
522	3240	2955
523	3245	2947
524	3251	2941
525	3257	2935
526	3263	2928
527	3270	2923
528	3276	2916
529	3282	2911
530	3290	2906
531	3296	2900
532	3302	2893
533	3309	2888
534	3316	2882
535	3322	2876
536	3329	2870
537	3334	2863
538	3341	2857
539	3347	2851
540	3355	2846
541	3362	2841
542	3369	2835
543	3375	2829
544	3382	2823
545	3387	2816
546	3393	2810
547	3399	2803
548	3404	2796
549	3410	2790
550	3416	2784
551	3423	2778
552	3429	2772
553	3434	2765
554	3440	2758
555	3445	2751
556	3452	2746
557	3458	2739
558	3463	2732
559	3468	2725
560	3474	2719
561	3480	2712
562	3486	2706
563	3491	2699
564	3498	2693
565	3504	2687
566	3509	2680
567	3516	2674
568	3522	2668
569	3528	2662
570	3534	2655
571	3539	2648
572	3546	2642
573	3552	2636
574	3558	2630
575	3563	2623
576	3570	2617
577	3576	2611
578	3582	2604
579	3588	2598
580	3594	2592
581	3601	2586
582	3607	2580
583	3615	2575
584	3623	2570
585	3630	2564
586	3638	2559
